1 2932 3220
1 2652 1274
1 1619 921
1 347 259
1 2167 1019
1 1776 1174
1 1202 1849
1 2857 3494
1 1766 3220
1 1202 1551
1 1156 1174
1 444 738
1 2014 2297
1 1775 1174
1 1118 2646
1 1105 2087
1 1619 3648
1 347 2167
1 347 3220
1 259 627
1 1272 3220
1 1202 3648
1 2014 1274
1 1849 1632
1 1778 1849
1 444 21
1 577 1124
1 1121 3494
1 577 1849
1 1619 3220
1 1105 1849
1 2047 921
1 1272 1274
1 1849 2167
1 738 3648
1 1776 2167
1 1156 1632
1 444 1429
1 1619 2427
1 1105 3494
1 444 627
1 1775 1032
1 259 1551
1 1827 1019
1 1766 359
1 1849 3494
1 2047 627
1 2932 3648
1 1105 1551
1 2014 627
2 538 3043
2 538 3187
2 3267 1022
2 981 3044
2 1124 36
2 3267 805
2 2141 3267
2 836 2890
2 848 908
2 36 1517
2 981 1547
2 2804 3187
2 981 594
2 981 399
2 2489 3487
2 1088 2141
2 1104 1357
2 3044 2079
2 538 3487
2 3267 399
2 36 1022
2 3267 1517
2 1570 2555
2 1414 2555
2 171 1357
2 1357 2890
2 1124 2890
2 848 1177
2 2489 1022
2 981 1517
2 1326 2602
2 171 1547
2 171 3544
2 538 908
2 1104 1706
2 3044 36
2 2558 1849
2 2401 1188
2 1088 2558
2 538 1326
2 171 3187
2 1414 36
2 1570 399
2 502 210
2 3267 1177
2 1124 594
2 1104 1407
2 2555 3487
2 36 3282
2 2776 1407
3 48 2277
3 2756 359
3 2756 577
3 260 2313
3 2756 260
3 2756 1901
3 48 979
3 3269 34
3 260 1121
3 1100 2313
3 1552 1100
3 1552 2277
3 48 582
3 1017 787
3 1552 1538
3 260 3371
3 787 2652
3 575 1121
3 355 2277
3 3385 3371
3 979 3371
3 3342 577
3 964 2277
3 3365 964
3 3302 2277
3 3365 3329
3 3302 943
3 1017 34
3 577 2652
3 1768 34
3 3269 3342
3 2860 1205
3 194 1442
3 575 577
3 1768 374
3 374 3292
3 359 3292
3 1552 3342
3 1100 2652
3 48 575
3 2598 2313
3 966 2277
3 1017 2277
3 1552 3302
3 2214 3292
3 3476 2652
3 1552 3458
3 1768 1442
3 1442 943
3 860 1205
4 1174 2402
4 328 1
4 72 1632
4 1174 1632
4 848 146
4 263 2957
4 145 39
4 263 2087
4 108 493
4 2087 1638
4 3042 2402
4 224 2933
4 1124 1446
4 1517 224
4 328 1556
4 16 336
4 705 336
4 1575 3036
4 146 463
4 1546 2402
4 247 146
4 2375 2957
4 1564 2933
4 1124 525
4 1 1827
4 1542 497
4 16 1556
4 1632 2957
4 2204 145
4 705 3036
4 1537 3029
4 1174 1556
4 146 3156
4 108 542
4 1124 1638
4 2235 493
4 263 525
4 2235 2957
4 2483 2957
4 452 2933
4 16 1827
4 1124 72
4 1542 1489
4 1537 1546
4 705 3029
4 1446 3029
4 848 336
4 2375 1
4 542 39
4 848 2483
5 580 217
5 580 368
5 1986 760
5 736 1986
5 2932 3221
5 1454 1517
5 47 1067
5 736 932
5 580 1357
5 399 806
5 1134 1733
5 736 2652
5 3073 2962
5 1575 1486
